Epoch,Train Accuracy,Validation Accuracy,Train Loss,Validation Loss
1,0.41583333333333333,0.5641891891891891,1.7725477,1.962920591637895
2,0.6675,0.5912162162162162,1.7080021,1.8952521440145131
3,0.7354166666666667,0.3783783783783784,2.0304816,2.065555508072312
4,0.7708333333333334,0.6959459459459459,1.6429725,1.8025405181420815
5,0.7966666666666666,0.714527027027027,1.6784661,1.7834512994096086
6,0.8116666666666666,0.6976351351351351,1.7171803,1.7714110000713452
7,0.8225,0.6503378378378378,1.7407856,1.8237074871320982
8,0.8120833333333334,0.8125,1.5305523,1.6602568658622536
9,0.8304166666666667,0.6351351351351351,1.7115344,1.7990943096779488
10,0.8441666666666666,0.8327702702702703,1.529508,1.6437334627718538
11,0.83875,0.7719594594594594,1.5692648,1.716364109838331
12,0.8379166666666666,0.8108108108108109,1.5507534,1.6603429285255638
13,0.8629166666666667,0.839527027027027,1.5066947,1.640429493543264
14,0.8645833333333334,0.8631756756756757,1.5176365,1.6147082399677586
15,0.86875,0.831081081081081,1.5643357,1.6480748460099504
16,0.8566666666666667,0.8293918918918919,1.5272595,1.6339579079602216
17,0.88,0.8885135135135135,1.4994758,1.5940391372989964
18,0.8845833333333334,0.8716216216216216,1.5129861,1.5989050897392068
19,0.8945833333333333,0.8648648648648649,1.4989396,1.607306583507641
20,0.8675,0.8260135135135135,1.5497451,1.6460575670809359
21,0.8725,0.7584459459459459,1.5694206,1.706727991233001
22,0.8866666666666667,0.8800675675675675,1.4844798,1.5917741704631496
23,0.8883333333333333,0.8513513513513513,1.5113004,1.6131041662113086
24,0.8829166666666667,0.8597972972972973,1.5043879,1.6225064219655216
25,0.8925,0.8851351351351351,1.4838254,1.5746567764797725
26,0.8841666666666667,0.9003378378378378,1.4992301,1.5811434726457338
27,0.8916666666666667,0.8496621621621622,1.483299,1.603984819876181
28,0.895,0.9172297297297297,1.4837304,1.5649575220571983
29,0.8966666666666666,0.8766891891891891,1.5032727,1.5879515892750509
30,0.8933333333333333,0.8648648648648649,1.4949195,1.600384860425382
31,0.8954166666666666,0.7989864864864865,1.5527269,1.6372961353611302
32,0.91125,0.9070945945945946,1.4855607,1.5592246699977566
33,0.9054166666666666,0.8918918918918919,1.4771353,1.5829560434496082
34,0.91125,0.8006756756756757,1.6029493,1.6696070464881692
35,0.9045833333333333,0.8851351351351351,1.4821855,1.571818989676398
36,0.9016666666666666,0.9138513513513513,1.4924153,1.5598367194871645
37,0.9120833333333334,0.9155405405405406,1.4882424,1.557906453673904
38,0.9145833333333333,0.8969594594594594,1.4787339,1.5768222486650623
39,0.9191666666666667,0.9121621621621622,1.4921663,1.5585056446694039
40,0.9091666666666667,0.8226351351351351,1.5373424,1.633422925665572
41,0.9054166666666666,0.9003378378378378,1.4874653,1.5678575747721903
42,0.9183333333333333,0.9206081081081081,1.4796729,1.5517238442962233
43,0.91375,0.8885135135135135,1.478315,1.5679534029316258
44,0.9145833333333333,0.8597972972972973,1.5202451,1.6035484268858626
45,0.9125,0.9155405405405406,1.4820168,1.546822116181657
46,0.9175,0.8631756756756757,1.5150753,1.6090096557462537
47,0.9204166666666667,0.9138513513513513,1.4809858,1.561208267469664
48,0.9208333333333333,0.8631756756756757,1.4774879,1.5935437453759682
49,0.9195833333333333,0.8834459459459459,1.4991695,1.5711830596666079
50,0.9145833333333333,0.9222972972972973,1.4674106,1.5395149379163175
51,0.9116666666666666,0.9358108108108109,1.481295,1.5399738389092523
52,0.9241666666666667,0.9358108108108109,1.4659433,1.536405940313597
53,0.9204166666666667,0.8699324324324325,1.4798347,1.5949967261907216
54,0.9129166666666667,0.9070945945945946,1.5000609,1.5656564139031075
55,0.925,0.9155405405405406,1.4830033,1.558413383123037
56,0.9195833333333333,0.9138513513513513,1.4750825,1.5558892037417438
57,0.9283333333333333,0.8952702702702703,1.487007,1.5686119988157943
58,0.9270833333333334,0.9222972972972973,1.4890586,1.5428325711069881
59,0.9183333333333333,0.893581081081081,1.4783528,1.566979002308201
60,0.91625,0.9070945945945946,1.467722,1.546627112337061
61,0.92125,0.910472972972973,1.4758003,1.5524626583666414
62,0.9308333333333333,0.9037162162162162,1.4715655,1.5558749598425787
63,0.94375,0.9239864864864865,1.471742,1.5456653253452197
64,0.93,0.9273648648648649,1.4709953,1.5432937145233154
65,0.92875,0.9206081081081081,1.4718064,1.5452097364374109
66,0.93125,0.9256756756756757,1.473991,1.5284475506962956
67,0.9220833333333334,0.918918918918919,1.4738262,1.551400297396892
68,0.9220833333333334,0.8969594594594594,1.4697495,1.5735322043702409
69,0.9370833333333334,0.9307432432432432,1.4686738,1.537182572725657
70,0.9266666666666666,0.8902027027027027,1.4677349,1.5783124549968823
71,0.92375,0.9273648648648649,1.4819514,1.5483344052288983
72,0.9325,0.910472972972973,1.4954158,1.5556146196416907
73,0.9254166666666667,0.9408783783783784,1.4703588,1.5362953463116207
74,0.9266666666666666,0.9307432432432432,1.4744874,1.5425630550126772
75,0.9258333333333333,0.9121621621621622,1.5196921,1.5590286641507536
76,0.9333333333333333,0.9037162162162162,1.4939096,1.5511462076290234
77,0.935,0.9290540540540541,1.4707885,1.5329593613341048
78,0.9404166666666667,0.918918918918919,1.4732877,1.5414105460450456
79,0.9208333333333333,0.8192567567567568,1.5136728,1.6502271955077712
80,0.9216666666666666,0.9324324324324325,1.4681925,1.544626632252255
81,0.9358333333333333,0.8817567567567568,1.4834876,1.5906712300068624
82,0.9204166666666667,0.8834459459459459,1.4795913,1.5702721557101689
83,0.92625,0.8969594594594594,1.4987923,1.5723729391355772
84,0.9233333333333333,0.9307432432432432,1.470957,1.5415242233791866
85,0.9370833333333334,0.9206081081081081,1.4667346,1.5435729896700061
86,0.92375,0.9273648648648649,1.4644631,1.5484184381124135
87,0.9329166666666666,0.9273648648648649,1.4648795,1.5319551519445471
88,0.9325,0.9206081081081081,1.4707148,1.5416587913358533
89,0.9375,0.9358108108108109,1.4635947,1.530108574274424
90,0.9429166666666666,0.8513513513513513,1.4825056,1.6234866831753705
91,0.9416666666666667,0.9206081081081081,1.4824265,1.5457473381145581
92,0.9383333333333334,0.9206081081081081,1.4686122,1.5410778135866732
93,0.9341666666666667,0.9273648648648649,1.4707185,1.5417350981686566
94,0.94125,0.9594594594594594,1.4826143,1.5164199584239237
95,0.9291666666666667,0.9358108108108109,1.4758412,1.53834884231155
96,0.9345833333333333,0.9290540540540541,1.477204,1.538997443946632
97,0.94,0.9273648648648649,1.4801794,1.5391679454494167
98,0.9345833333333333,0.9324324324324325,1.4677031,1.5317928952139777
99,0.9445833333333333,0.9256756756756757,1.4702126,1.5313354569512445
100,0.9379166666666666,0.9341216216216216,1.4658747,1.5285885527327254
101,0.9425,0.9206081081081081,1.4648079,1.542089291521021
102,0.9445833333333333,0.9358108108108109,1.4662465,1.5305532635869206
103,0.935,0.9391891891891891,1.4679174,1.5300659392331097
104,0.9295833333333333,0.8834459459459459,1.4694294,1.5676665692716032
105,0.935,0.9476351351351351,1.4682381,1.5272382594443656
106,0.9416666666666667,0.9442567567567568,1.4646996,1.5199015752689258
107,0.9370833333333334,0.8986486486486487,1.4772288,1.55855790988819
108,0.9441666666666667,0.9341216216216216,1.4670265,1.5293327569961548
109,0.9408333333333333,0.9324324324324325,1.4742028,1.5382166005469657
110,0.9383333333333334,0.9341216216216216,1.4663272,1.5327781535483695
111,0.9445833333333333,0.9375,1.4685266,1.535180375382707
112,0.9379166666666666,0.9003378378378378,1.5150329,1.5458051803949717
113,0.9416666666666667,0.9239864864864865,1.4740925,1.54610436671489
114,0.9366666666666666,0.9408783783783784,1.4806298,1.5375334378835317
115,0.93625,0.9459459459459459,1.4769174,1.5272876668620754
116,0.9383333333333334,0.9324324324324325,1.4819981,1.54010576170844
117,0.9416666666666667,0.9256756756756757,1.4692897,1.5455179150040086
118,0.93625,0.9358108108108109,1.4795051,1.5323540230055113
119,0.94,0.9459459459459459,1.4685988,1.5296689239708152
120,0.9516666666666667,0.9375,1.4660554,1.523479980391425
121,0.9454166666666667,0.9425675675675675,1.4644396,1.5293721025054519
122,0.93125,0.9206081081081081,1.4751157,1.544876530363753
123,0.94125,0.9476351351351351,1.4655094,1.5182898882273081
124,0.9466666666666667,0.9172297297297297,1.4808203,1.5460167349995793
125,0.9475,0.9408783783783784,1.473393,1.5240935763797245
126,0.9404166666666667,0.9307432432432432,1.4744651,1.5391826597419944
127,0.9445833333333333,0.9543918918918919,1.4723984,1.5161164129102551
128,0.9391666666666667,0.9290540540540541,1.4689909,1.537791590432863
129,0.9470833333333334,0.9222972972972973,1.4709301,1.543859861992501
130,0.94375,0.9375,1.4733548,1.5485625428122443
131,0.9445833333333333,0.9307432432432432,1.4697452,1.5362855228217873
132,0.9491666666666667,0.9493243243243243,1.4671173,1.521326090838458
133,0.9504166666666667,0.956081081081081,1.4679024,1.5151283128841504
134,0.94875,0.9611486486486487,1.463817,1.515614400038848
135,0.9433333333333334,0.9155405405405406,1.4669827,1.5392828406514347
136,0.9416666666666667,0.9543918918918919,1.4687481,1.528203696817965
137,0.9508333333333333,0.9493243243243243,1.4624381,1.516047236081716
138,0.9454166666666667,0.9442567567567568,1.4643471,1.5217591201936878
139,0.9445833333333333,0.9527027027027027,1.4624109,1.5178182253966461
140,0.9429166666666666,0.9375,1.4693764,1.5392533669600617
141,0.9495833333333333,0.9543918918918919,1.4646755,1.5153785106298086
142,0.9454166666666667,0.9476351351351351,1.4798719,1.5146637252859168
143,0.9520833333333333,0.9172297297297297,1.4815185,1.5495234727859497
144,0.9445833333333333,0.9543918918918919,1.474182,1.5166552550083883
145,0.9408333333333333,0.9172297297297297,1.4761188,1.548085873191421
146,0.9420833333333334,0.9543918918918919,1.468677,1.5230392604260832
147,0.9441666666666667,0.9391891891891891,1.4658545,1.5278761934589695
148,0.9504166666666667,0.9476351351351351,1.4688826,1.5243087781442177
149,0.9370833333333334,0.9442567567567568,1.4749482,1.5199626136470485
150,0.9458333333333333,0.9375,1.4710356,1.5205247627722251
151,0.94625,0.9527027027027027,1.4685373,1.5164944900048745
152,0.9379166666666666,0.9307432432432432,1.4666426,1.5345984600685738
153,0.9483333333333334,0.9206081081081081,1.4711238,1.5429392891961176
154,0.9429166666666666,0.9594594594594594,1.4646146,1.509833854597968
155,0.95,0.9493243243243243,1.4659842,1.5168385537894997
156,0.9570833333333333,0.9408783783783784,1.511321,1.5242375522046476
157,0.9458333333333333,0.9256756756756757,1.4883019,1.536433387447048
158,0.94875,0.9476351351351351,1.4619116,1.516682963113527
159,0.9420833333333334,0.9527027027027027,1.4719685,1.5189763468665045
160,0.9475,0.9459459459459459,1.4716294,1.5205715604730554
161,0.9504166666666667,0.9577702702702703,1.463158,1.5174205432067047
162,0.9554166666666667,0.9527027027027027,1.4710274,1.517422225024249
163,0.9445833333333333,0.9358108108108109,1.4622276,1.5327521337045205
164,0.955,0.9324324324324325,1.4687418,1.5298136794889294
165,0.9433333333333334,0.9358108108108109,1.4670596,1.5281120184305552
166,0.95875,0.9577702702702703,1.4620482,1.5125205420159005
167,0.9520833333333333,0.9510135135135135,1.4656171,1.5161786240500372
168,0.9516666666666667,0.9476351351351351,1.4712733,1.515722571192561
169,0.9575,0.9425675675675675,1.4649991,1.5236108850788426
170,0.9458333333333333,0.9476351351351351,1.4843328,1.5153967818698368
171,0.9520833333333333,0.9459459459459459,1.4654261,1.5206068850852348
172,0.95,0.9577702702702703,1.4626613,1.5184728036055695
173,0.9495833333333333,0.9543918918918919,1.4665796,1.5171457110224544
174,0.9529166666666666,0.9476351351351351,1.4624593,1.5184870603922251
175,0.9391666666666667,0.9611486486486487,1.4636817,1.5156320881199192
176,0.9575,0.9543918918918919,1.4696258,1.5141884475140959
177,0.94625,0.9408783783783784,1.4630566,1.5211243113955937
178,0.94375,0.9527027027027027,1.4631187,1.5173064276978776
179,0.9466666666666667,0.9442567567567568,1.4677587,1.5219578453012415
180,0.95,0.9459459459459459,1.4687225,1.520873192194346
181,0.9466666666666667,0.9408783783783784,1.4628922,1.5163437675785374
182,0.9475,0.9543918918918919,1.4762881,1.5113545688422951
183,0.94875,0.9510135135135135,1.4622874,1.517919285877331
184,0.9545833333333333,0.9510135135135135,1.4630907,1.5171881269764256
185,0.9545833333333333,0.9527027027027027,1.4626917,1.5112235095049884
186,0.9525,0.956081081081081,1.4689347,1.512201492850845
187,0.9475,0.9391891891891891,1.4803643,1.5269457681758984
188,0.9516666666666667,0.9442567567567568,1.4647511,1.5218671753599837
189,0.9466666666666667,0.9408783783783784,1.4689631,1.524706151034381
190,0.9420833333333334,0.9510135135135135,1.4704237,1.5106446034199483
191,0.9541666666666667,0.9527027027027027,1.4663185,1.5234087544518549
192,0.9454166666666667,0.9442567567567568,1.4721284,1.517885153358047
193,0.9554166666666667,0.9510135135135135,1.4633834,1.514731255737511
194,0.9479166666666666,0.9577702702702703,1.4636526,1.512921533069095
195,0.9508333333333333,0.9425675675675675,1.4687766,1.5252211770495854
196,0.9495833333333333,0.9493243243243243,1.4676962,1.5131747078251194
197,0.9504166666666667,0.9459459459459459,1.4636014,1.5240387497721493
198,0.945,0.9375,1.4623473,1.521127462387085
199,0.94875,0.956081081081081,1.464163,1.5125923317831915
200,0.9608333333333333,0.9510135135135135,1.462056,1.5129227670463357
201,0.9520833333333333,0.9611486486486487,1.4622946,1.5088672058002368
202,0.9554166666666667,0.9510135135135135,1.4679657,1.5220015725573979
203,0.9533333333333334,0.9476351351351351,1.4645048,1.5172155741098765
204,0.9508333333333333,0.9290540540540541,1.4866637,1.5342497632310197
205,0.95625,0.9543918918918919,1.4745523,1.5143202188852671
206,0.94375,0.9425675675675675,1.4655671,1.513953698647989
207,0.95375,0.9510135135135135,1.469864,1.5180621147155762
208,0.9558333333333333,0.9594594594594594,1.4647951,1.5016993316444192
209,0.96,0.9493243243243243,1.4851071,1.5132546618178084
210,0.94,0.956081081081081,1.471365,1.514458646645417
211,0.9520833333333333,0.956081081081081,1.4689113,1.5090471151712779
212,0.9575,0.964527027027027,1.462208,1.509755108807538
213,0.9429166666666666,0.9493243243243243,1.4641826,1.5168760370563816
214,0.9529166666666666,0.9510135135135135,1.462261,1.5139986212189134
215,0.9591666666666666,0.9577702702702703,1.47561,1.5167183135006879
216,0.9604166666666667,0.9611486486486487,1.4700285,1.5018001440409068
217,0.9583333333333334,0.9527027027027027,1.4757565,1.5164397342784985
218,0.9545833333333333,0.9543918918918919,1.4712902,1.5064436261718337
219,0.95375,0.9679054054054054,1.4701747,1.5051416609738324
220,0.96,0.9543918918918919,1.4764771,1.511143175331322
221,0.95375,0.9442567567567568,1.4694399,1.5239457923012811
222,0.9554166666666667,0.9375,1.4722732,1.52110387827899
223,0.9504166666666667,0.9611486486486487,1.4856987,1.5084822242324416
224,0.9620833333333333,0.9459459459459459,1.4693491,1.521992032592361
225,0.955,0.9594594594594594,1.4638782,1.514418685758436
226,0.9529166666666666,0.9662162162162162,1.4660555,1.5013306463086926
227,0.9533333333333334,0.9425675675675675,1.4765514,1.5263015998376381
228,0.9558333333333333,0.9628378378378378,1.4641658,1.5141570600303444
229,0.955,0.956081081081081,1.464371,1.5100974714433826
230,0.9475,0.9476351351351351,1.474622,1.5077519513465263
231,0.95375,0.9662162162162162,1.4648249,1.5048780699033995
232,0.9616666666666667,0.9662162162162162,1.4623911,1.5007998266735592
233,0.95625,0.9577702702702703,1.4649115,1.5074739842801481
234,0.95875,0.956081081081081,1.475828,1.5093777662998922
235,0.9541666666666667,0.9594594594594594,1.4696274,1.5117040775917672
236,0.9570833333333333,0.9594594594594594,1.4681149,1.5046508312225342
237,0.9554166666666667,0.9527027027027027,1.4633129,1.5142722838633769
238,0.94625,0.9493243243243243,1.4668022,1.5157073091816258
239,0.9591666666666666,0.9375,1.4772648,1.5253409437231116
240,0.9545833333333333,0.9543918918918919,1.4746511,1.5114209716384475
241,0.9504166666666667,0.9662162162162162,1.4665111,1.5012522033742957
242,0.955,0.9611486486486487,1.4630307,1.501645471598651
243,0.9470833333333334,0.9442567567567568,1.4750745,1.5181056325500075
244,0.9608333333333333,0.9594594594594594,1.4871998,1.5110626736202755
245,0.9533333333333334,0.9510135135135135,1.4692878,1.510027914433866
246,0.9508333333333333,0.9543918918918919,1.4645352,1.507438978633365
247,0.965,0.9577702702702703,1.4638579,1.5093636351662714
248,0.95125,0.9493243243243243,1.4666963,1.5127237745233484
249,0.9641666666666666,0.9679054054054054,1.4719305,1.503295721234502
250,0.96125,0.9527027027027027,1.465398,1.5129465154699377
251,0.9570833333333333,0.9510135135135135,1.4635488,1.5069246710957707
252,0.9583333333333334,0.9476351351351351,1.4654475,1.5112530991837785
253,0.9545833333333333,0.9493243243243243,1.4753444,1.5151819699519389
254,0.9533333333333334,0.9577702702702703,1.472065,1.5084530372877378
255,0.9504166666666667,0.9341216216216216,1.4687077,1.5351462203103143
256,0.9525,0.9476351351351351,1.466342,1.513210570490038
257,0.9566666666666667,0.9628378378378378,1.4672475,1.5066631162488782
258,0.9633333333333334,0.9493243243243243,1.4717853,1.5160970301241488
259,0.9545833333333333,0.9527027027027027,1.461919,1.5045151710510254
260,0.9608333333333333,0.9679054054054054,1.4643701,1.4974761911340662
261,0.9620833333333333,0.9679054054054054,1.4625236,1.5010435162363827
262,0.95875,0.9493243243243243,1.4706043,1.5198360681533813
263,0.9570833333333333,0.9425675675675675,1.4720367,1.5147976553117908
264,0.9541666666666667,0.9476351351351351,1.4709872,1.5145052671432495
265,0.9595833333333333,0.9527027027027027,1.4634607,1.5067623177090206
266,0.96,0.9611486486486487,1.4649541,1.5077545449540422
267,0.9545833333333333,0.9543918918918919,1.475523,1.5083680185111794
268,0.9595833333333333,0.964527027027027,1.4664757,1.5046260066934534
269,0.94625,0.9493243243243243,1.4641604,1.5106738870208327
270,0.9625,0.9510135135135135,1.4647316,1.516429076323638
271,0.9570833333333333,0.9695945945945946,1.4689901,1.5069036902608097
272,0.955,0.9594594594594594,1.464627,1.5068884282498747
273,0.9575,0.9628378378378378,1.4740485,1.5073513888023995
274,0.95625,0.9695945945945946,1.4645486,1.5039782878514882
275,0.955,0.9611486486486487,1.4694457,1.503642462395333
276,0.9616666666666667,0.9594594594594594,1.4686546,1.5048344199721877
277,0.9595833333333333,0.9527027027027027,1.4691093,1.5058641723684363
278,0.9658333333333333,0.9425675675675675,1.4729618,1.5151705065289058
279,0.9575,0.956081081081081,1.4661623,1.5218000959705662
280,0.96,0.956081081081081,1.4622438,1.5054427965267285
281,0.9520833333333333,0.9577702702702703,1.4633532,1.509893149942965
282,0.9566666666666667,0.9510135135135135,1.46486,1.5110838252144891
283,0.95375,0.9662162162162162,1.4651548,1.5005340447296966
284,0.9591666666666666,0.9577702702702703,1.467006,1.506845860867887
285,0.9591666666666666,0.9510135135135135,1.470574,1.5069210368233759
286,0.9629166666666666,0.9594594594594594,1.4654846,1.508699123923843
287,0.9579166666666666,0.9628378378378378,1.4713316,1.503485334886087
288,0.9604166666666667,0.9611486486486487,1.4641764,1.4996920308551274
289,0.9554166666666667,0.9628378378378378,1.4620539,1.5027070399877187
290,0.9566666666666667,0.9662162162162162,1.4649326,1.5019344091415405
291,0.9654166666666667,0.9493243243243243,1.4822114,1.5149906293765918
292,0.9629166666666666,0.9662162162162162,1.4627471,1.5106352277704187
293,0.96125,0.9611486486486487,1.4696592,1.5074765488908097
294,0.9583333333333334,0.9527027027027027,1.4652479,1.5066529447967942
295,0.9629166666666666,0.9679054054054054,1.4649891,1.5035696351850354
296,0.9525,0.9459459459459459,1.4784018,1.510228385796418
297,0.9570833333333333,0.956081081081081,1.4778236,1.5067153621364284
298,0.9633333333333334,0.9611486486486487,1.4775391,1.5044013390669952
299,0.9625,0.9662162162162162,1.4647486,1.50418581189336
300,0.9616666666666667,0.9527027027027027,1.464132,1.5146360300682686
